MAKE_MODEL_CODE,MODEL_DESC,A,B,D,E,MODEL_DESC_DETAIL,ACOR_TOTAL
CHE2,CHEVEQU2,0,0,1,1,CHEVEQU2,21169
KIOP,KIA OPTI,0,1,0,0,KIA OPTI,7316
BREG,BUICREGL,1,1,1,1,BUICREGL,18840
KS74,KIA SO74,0,1,1,1,KIA SO74,12021
NIAL,NISSALTI,0,0,1,0,NISSALTI,15187
KISL,KIA SOUL,0,0,1,0,KIA SOUL,5883
NIAL,NISSALTI,1,1,0,0,NISSALTI,19459
FOFN,FORDFUSI,0,1,1,0,FORDFUSI,7744
KIRO,KIA RIO,0,0,1,1,KIA RIO,16677
FOE2,FORDESC2,1,0,0,1,FORDESC2,11343
CTWN,CHRYTOWN,0,1,1,1,CHRYTOWN,10702
FTA2,FORDTAU2,1,1,0,1,FORDTAU2,16865
KIFO,KIA FORT,1,0,1,1,KIA FORT,682
FOE2,FORD ESCAPE 2WD,1,1,0,0,FORD ESCAPE 2WD,5454
KIOP,KIA OPTI,0,0,0,1,KIA OPTI,34601
MILC,MITSLANC,1,0,1,0,MITSLANC,7063
DRQ4,DODGQUA4,0,1,1,1,DODGQUA4,6638
KCAD,KIA CADE,0,1,1,1,KIA CADE,23498
KIRO,KIA RIO,0,1,1,0,KIA RIO,6865
FEXP,FORDEXPL,1,1,0,0,FORDEXPL,31845
CHIM,CHEVIMPA,1,1,0,0,CHEVIMPA,9899
VG2F,VOLKGOLF,0,0,1,1,VOLKGOLF,4577
HYSA,HYUNSAN2,0,0,1,1,HYUNSAN2,28754
CHE2,CHEVEQU2,1,1,1,1,CHEVEQU2,4981
FTA2,FORDTAU2,1,1,1,0,FORDTAU2,7076
FEX2,FORDEXL2,0,1,0,0,FORDEXL2,6154
FEXP,FORDEXPL,0,1,1,0,FORDEXPL,5067
FEX2,FORDEXL2,1,0,0,0,FORDEXL2,12525
HYSL,HYUNSONA,0,1,1,0,HYUNSONA,5911
CHCZ,CHEVCRUZ,1,1,1,1,CHEVCRUZ,12464
NIVS,NISSVRSA,1,0,0,1,NISSVRSA,18964
CHCM,CHEVCAMA,0,1,1,0,CHEVCAMA,13193
FFE5,FORDFIE5,1,1,0,1,FORDFIE5,15268
CMRY,TOYOCAMR,0,1,1,1,TOYOCAMR,6898
KIS2,KIA SPO2,1,0,1,1,KIA SPO2,4739
,HYUNSONA,1,1,0,1,HYUNSONA,35995
NIAL,NISSALTI,1,0,0,1,NISSALTI,9784
CTWN,CHRYTOWN,1,0,1,0,CHRYTOWN,11347
FFE5,FORDFIE5,0,0,1,0,FORDFIE5,3246
TOPH,TOYOPRIH,1,1,0,1,TOYOPRIH,5650
CHCZ,CHEVCRUZ,1,0,0,1,CHEVCRUZ,1308
CHCZ,CHEVCRUZ,1,1,0,0,CHEVCRUZ,6994
NIAL,NISSALTI,0,0,0,0,NISSALTI,21741
CHCZ,CHEVCRUZ,0,1,1,1,CHEVCRUZ,9543
,KIA OPTI,0,1,1,0,KIA OPTI,20442
KIFO,KIA FORT,1,1,0,1,KIA FORT,4820
CHCZ,CHEVCRUZ,0,0,1,0,CHEVCRUZ,2726
DOGC,DODGGRCA,0,0,1,0,DODGGRCA,550
CHSU,CHEVSUBU,0,1,1,1,CHEVSUBU,2089
CX5F,MAZDA CX-5 FWD,0,1,1,0,MAZDA CX-5 FWD,3500
KS74,KIA SO74,0,0,1,0,KIA SO74,3866
CHIM,CHEVIMPA,1,1,1,0,CHEVIMPA,1700
CTWN,CHRYTOWN,1,0,1,1,CHRYTOWN,759
,CHEVROLET TAHOE 4WD,0,0,1,1,CHEVROLET TAHOE 4WD,6664
KIOP,KIA OPTI,0,1,1,0,KIA OPTI,944
NIAL,NISSALTI,1,0,0,0,NISSALTI,420
HYEL,HYUNELAN,0,0,1,0,HYUNELAN,953
HYEL,HYUNELAN,0,1,1,1,HYUNELAN,420
HYTN,HYUNTUC2,1,1,0,0,HYUNTUC2,398
CHT4,CHEVTRA4,0,1,0,1,CHEVTRA4,1423
CHIM,CHEVIMPA,1,0,0,1,CHEVIMPA,395
JEP2,JEEPPAT2,1,1,0,1,JEEPPAT2,1559
CTWN,CHRYTOWN,0,0,1,0,CHRYTOWN,1058
